,year,country,province,region_1,lat,lon,location,avg_temp,min_temp,max_temp
6233,2011.0,Portugal,Dão,,39.9375585,-7.8638768,1,21.037383177570092,8.2,38.4
6251,2007.0,Portugal,Alentejano,,38.6976558,-9.35351,1,18.963551401869157,2.0,37.4
6261,2010.0,US,California,Oakville,36.778259,-119.417931,1,22.446948356807514,3.9,43.3
6264,2010.0,US,California,Diamond Mountain District,36.778259,-119.417931,1,22.446948356807514,3.9,43.3
6271,2010.0,US,California,Pine Mountain-Cloverdale Peak,36.778259,-119.417931,1,22.446948356807514,3.9,43.3
6277,2010.0,US,California,Mt. Harlan,36.778259,-119.417931,1,22.446948356807514,3.9,43.3
6278,2000.0,US,Oregon,Dundee Hills,45.4206749,-122.670649,1,16.6018779342723,0.6,36.7
6281,2008.0,US,Washington,Yakima Valley,38.8950368,-77.0365427,1,21.203271028037385,2.2,36.7
6290,2011.0,Portugal,Lisboa,,38.7077507,-9.1365919,1,20.90233644859813,11.4,35.6
6313,2010.0,US,California,Calaveras County,36.778259,-119.417931,1,22.446948356807514,3.9,43.3
6315,2016.0,Italy,Veneto,Valdobbiadene Prosecco Superiore,45.666668,12.25,1,19.6785046728972,4.0,34.2
6324,2014.0,France,Alsace,Crémant d'Alsace,48.684872850000005,2.17560777527428,1,15.848598130841124,3.0,34.0
6327,2015.0,US,Oregon,Southern Oregon,45.4206749,-122.670649,1,17.802336448598133,1.7,39.4
6336,2016.0,France,Alsace,Alsace,48.684872850000005,2.17560777527428,1,15.56355140186916,0.3,35.5
6340,2015.0,US,California,Adelaida District,36.778259,-119.417931,1,24.21682242990654,6.1,42.2
6341,2016.0,US,California,Lodi,36.778259,-119.417931,1,23.931775700934576,7.8,42.8
6342,2014.0,US,California,Diamond Mountain District,36.778259,-119.417931,1,25.482710280373833,6.1,43.3
6345,2012.0,US,California,Fiddletown,36.778259,-119.417931,1,24.43598130841121,3.3,43.9
6347,2009.0,Germany,Pfalz,,53.8156324,13.3702287,1,14.004672897196262,-1.1,30.5
6355,2014.0,Italy,Sicily & Sardinia,Vermentino di Gallura,39.373062,9.157212,1,21.72710280373832,5.0,37.2
6366,2013.0,US,California,Ben Lomond Mountain,36.778259,-119.417931,1,24.64392523364486,5.6,43.3
6376,2016.0,South Africa,South Africa,,-23.0379481,30.6493787,0,,,
6378,2013.0,US,California,South Coast,36.778259,-119.417931,1,24.64392523364486,5.6,43.3
6387,2015.0,Italy,Veneto,Prosecco,45.666668,12.25,1,20.18411214953271,-0.8,39.4
6401,2015.0,US,California,Mendocino County,36.778259,-119.417931,1,24.21682242990654,6.1,42.2
6406,2006.0,Italy,Veneto,Veneto,45.666668,12.25,1,19.746728971962614,1.0,37.0
6408,2002.0,Austria,Burgenland,,47.1863428,16.164464,1,16.102564102564102,0.6,34.1
6415,2004.0,US,California,Oakville,36.778259,-119.417931,1,23.48738317757009,6.1,41.1
6422,2006.0,US,Washington,Rattlesnake Hills,38.8950368,-77.0365427,1,20.551173708920185,1.1,38.3
6431,2009.0,US,California,St. Helena,36.778259,-119.417931,1,23.683644859813086,3.3,44.4
6452,2001.0,Italy,Veneto,Amarone della Valpolicella Classico,45.666668,12.25,1,19.328504672897193,0.0,35.0
6465,2008.0,Canada,Ontario,Niagara Peninsula,47.26468685,-53.92039475377365,1,10.282710280373832,-9.8,23.6
6471,2010.0,US,California,Rockpile,36.778259,-119.417931,1,22.446948356807514,3.9,43.3
6479,2006.0,US,California,Rutherford,36.778259,-119.417931,1,23.44716981132075,5.6,45.0
6494,2014.0,US,Oregon,Rogue Valley,45.4206749,-122.670649,1,17.52710280373832,3.9,37.2
6514,2009.0,US,Michigan,Old Mission Peninsula,41.7075394,-86.8950297,1,15.89615384615385,-1.7,33.9
6515,2010.0,US,Michigan,Old Mission Peninsula,41.7075394,-86.8950297,1,18.32815533980583,-1.1,33.9
6517,2007.0,US,Missouri,Missouri,29.6185669,-95.5377215,1,25.06495327102804,3.3,38.9
6522,2009.0,US,New Mexico,New Mexico,35.106766,-106.629181,1,20.317289719626167,-3.3,37.8
6527,2007.0,US,Massachusetts,Southeastern New England,39.775761,-86.14828559204801,1,20.3696261682243,-5.0,35.6
6539,2009.0,US,Ohio,Grand River Valley,41.5575349,-89.4609276,1,15.097959183673467,-4.0,36.0
6547,2013.0,US,Arizona,Sonoita,34.048927,-111.093735,1,20.05878378378378,0.0,37.0
6561,2013.0,US,Michigan,Old Mission Peninsula,41.7075394,-86.8950297,1,16.006103286384974,-7.0,33.6
6563,2011.0,US,Texas,Texas,29.749907,-95.358421,1,26.992056074766353,7.8,41.1
6565,2013.0,Peru,Ica,,-14.0640967,-75.7290915,0,,,
6570,2006.0,US,California,Sonoma Mountain,36.778259,-119.417931,1,23.44716981132075,5.6,45.0
6578,2005.0,US,Washington,Yakima Valley,38.8950368,-77.0365427,1,21.16588785046729,3.3,36.1
6587,2005.0,US,California,Howell Mountain,36.778259,-119.417931,1,22.922535211267604,4.4,42.8
6598,2007.0,France,Beaujolais,Juliénas,46.1186123,4.6156707,1,16.52553191489362,0.4,31.8
6612,2004.0,US,California,Howell Mountain,36.778259,-119.417931,1,23.48738317757009,6.1,41.1
6621,2011.0,US,California,San Benito County,36.778259,-119.417931,1,22.850000000000005,2.8,41.7
6635,2009.0,Spain,Catalonia,Terra Alta,41.390205,2.154007,1,20.743457943925232,6.8,35.6
6637,2011.0,US,California,Anderson Valley,36.778259,-119.417931,1,22.850000000000005,2.8,41.7
6648,2008.0,Australia,Victoria,King Valley,-21.2309116,148.9741517,0,,,
6655,2006.0,US,California,Sonoma Valley,36.778259,-119.417931,1,23.44716981132075,5.6,45.0
